Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR enriched P-value,Bonferroni enriched P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0000375,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000379,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000380,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000381,35/49164 (0.0712%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000387,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000388,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000389,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000390,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000393,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000395,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000398,102/49164 (0.2075%),1/32 (3.125%),15.0625,0.06431836096711596,1.0,1.0,3.9128893362299615,1.1916650312995127,-0.0,-0.0
GO:0000413,20/49164 (0.0407%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000422,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000423,27/49164 (0.0549%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000425,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000447,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000448,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000454,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000455,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000460,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000461,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000462,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000463,11/49164 (0.0224%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000466,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000467,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000470,10/49164 (0.0203%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000472,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000479,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000480,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000481,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000492,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000493,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000494,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000495,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000578,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000706,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000707,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000712,18/49164 (0.0366%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000715,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000722,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000723,22/49164 (0.0447%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000724,39/49164 (0.0793%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000727,11/49164 (0.0224%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000729,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000730,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000768,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000819,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
