Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR enriched P-value,Bonferroni enriched P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0007623,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0007624,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0007626,22/49164 (0.0447%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0007631,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0007635,46/49164 (0.0936%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0007638,29/49164 (0.059%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008033,66/49164 (0.1342%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008038,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008039,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008045,32/49164 (0.0651%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008053,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008063,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008064,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008078,10/49164 (0.0203%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008088,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008089,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008090,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008104,81/49164 (0.1648%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008150,33/49164 (0.0671%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008154,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008156,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008202,28/49164 (0.057%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008203,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008206,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008209,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008210,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008216,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008277,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008284,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008285,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008286,15/49164 (0.0305%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008292,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008295,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008298,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008299,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008306,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008333,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008340,249/49164 (0.5065%),4/32 (12.5%),24.680722891566266,2.065792642420848e-05,0.004218807640855022,0.07593853753539037,4.6253127461333765,4.684913273703103,2.3748102760923357,1.1195377709890295
GO:0008344,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008345,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008354,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008355,22/49164 (0.0447%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008356,24/49164 (0.0488%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008360,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008361,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008380,107/49164 (0.2176%),2/32 (6.25%),28.717289719626166,0.002230310301856425,0.2732873556541406,1.0,4.84384769180031,2.6516347095936212,0.5633804615992101,-0.0
GO:0008406,57/49164 (0.1159%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008535,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008543,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008544,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008582,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008584,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008585,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008592,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008593,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008595,15/49164 (0.0305%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008608,11/49164 (0.0224%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008610,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008611,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008612,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008615,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008630,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008637,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008643,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008645,20/49164 (0.0407%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008652,25/49164 (0.0509%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008654,35/49164 (0.0712%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0008655,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009051,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009052,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009056,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009058,33/49164 (0.0671%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009060,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009062,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009066,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009072,10/49164 (0.0203%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009081,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009082,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009083,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009086,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009097,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009098,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009099,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009100,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009107,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009113,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009116,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009117,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009142,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009143,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009150,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009154,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009157,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009165,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009166,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009177,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009190,37/49164 (0.0753%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009204,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009220,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009221,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009224,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009225,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009229,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009231,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009235,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009240,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009247,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009249,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009253,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009258,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009263,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009264,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009266,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009267,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009269,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009298,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009299,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009303,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009306,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009308,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009311,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009312,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009314,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009395,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009396,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009398,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009408,62/49164 (0.1261%),3/32 (9.375%),74.34072580645162,9.227940911189103e-06,0.002261460719302076,0.03392191078953114,6.216080868535738,5.0348951950381,2.6456109513797075,1.4695196923240263
GO:0009409,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009410,24/49164 (0.0488%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009411,19/49164 (0.0386%),3/32 (9.375%),242.58552631578948,2.4097219008416926e-07,0.00022145344268735155,0.0008858137707494062,7.922349665479028,6.618033075225492,3.6547175638393803,3.0526575725114182
GO:0009435,8/49164 (0.0163%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009436,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009437,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009438,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009443,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009448,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009449,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009450,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009451,12/49164 (0.0244%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009454,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009566,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009581,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009582,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009584,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009593,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009611,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009612,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009620,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009636,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009637,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009650,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009651,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009653,61/49164 (0.1241%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009725,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009755,10/49164 (0.0203%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009785,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009786,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009791,33/49164 (0.0671%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009792,305/49164 (0.6204%),1/32 (3.125%),5.037295081967214,0.180614479617908,1.0,1.0,2.3326492457512087,0.7432474358271431,-0.0,-0.0
GO:0009794,12/49164 (0.0244%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009880,14/49164 (0.0285%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009886,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009887,20/49164 (0.0407%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009888,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009890,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009892,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009893,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009896,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009913,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009948,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009949,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009952,19/49164 (0.0386%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009953,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009954,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009957,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009966,19/49164 (0.0386%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009967,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009968,15/49164 (0.0305%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009992,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009994,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0009996,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010001,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010032,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010038,12/49164 (0.0244%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010042,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010043,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010070,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010084,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010085,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010121,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010133,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010142,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010165,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010171,21/49164 (0.0427%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010172,37/49164 (0.0753%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010212,6/49164 (0.0122%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010225,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010226,4/49164 (0.0081%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010248,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010256,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010265,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010273,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010286,12/49164 (0.0244%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010288,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010312,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010332,10/49164 (0.0203%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010389,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010446,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0010447,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
