Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0031045,9/49164 (0.01831%),0/32 (0%),0.0,0.9941568091805975,1.0,1.0,-1000.0,0.0025451085697685686,-0.0,-0.0
GO:0031080,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0031082,7/49164 (0.01424%),0/32 (0%),0.0,0.9954524306930554,1.0,1.0,-1000.0,0.0019794886060544173,-0.0,-0.0
GO:0031083,8/49164 (0.01627%),0/32 (0%),0.0,0.9948044156029935,1.0,1.0,-1000.0,0.0022622957103461015,-0.0,-0.0
GO:0031090,11/49164 (0.02237%),0/32 (0%),0.0,0.9928628213412879,1.0,1.0,-1000.0,0.003110751554942621,-0.0,-0.0
GO:0031105,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0031143,39/49164 (0.07933%),0/32 (0%),0.0,0.9749174151461383,1.0,1.0,-1000.0,0.011032171650572213,-0.0,-0.0
GO:0031201,32/49164 (0.06509%),0/32 (0%),0.0,0.979374081942163,1.0,1.0,-1000.0,0.00905139329149755,-0.0,-0.0
GO:0031207,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0031209,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0031234,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031251,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031252,8/49164 (0.01627%),0/32 (0%),0.0,0.9948044156029935,1.0,1.0,-1000.0,0.0022622957103461015,-0.0,-0.0
GO:0031253,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031260,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0031261,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0031262,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0031298,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0031314,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0031332,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0031371,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0031372,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031379,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031380,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0031390,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031410,139/49164 (0.2827%),0/32 (0%),0.0,0.9133560857127434,1.0,1.0,-1000.0,0.039359873165968805,-0.0,-0.0
GO:0031415,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0031416,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031417,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0031422,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0031428,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0031429,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0031430,32/49164 (0.06509%),0/32 (0%),0.0,0.979374081942163,1.0,1.0,-1000.0,0.00905139329149755,-0.0,-0.0
GO:0031436,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
