Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0034061,8/49164 (0.01627%),0/32 (0%),0.0,0.9948044156029935,1.0,1.0,-1000.0,0.0022622957103461015,-0.0,-0.0
GO:0034062,7/49164 (0.01424%),0/32 (0%),0.0,0.9954524306930554,1.0,1.0,-1000.0,0.0019794886060544173,-0.0,-0.0
GO:0034236,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034237,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0034246,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0034353,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0034386,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034431,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034432,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034450,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0034452,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034458,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034485,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034511,6/49164 (0.0122%),0/32 (0%),0.0,0.9961008547003465,1.0,1.0,-1000.0,0.0016966872566592096,-0.0,-0.0
GO:0034513,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0034583,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034584,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034594,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034597,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0034632,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034639,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034647,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0034713,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034736,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034899,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0034979,4/49164 (0.008136%),0/32 (0%),0.0,0.997398930465604,1.0,1.0,-1000.0,0.001131101821621524,-0.0,-0.0
GO:0034986,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035005,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035014,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
