Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
Lee.SRA.N2__Lee.SRA.prg1Mut.N2,7/51 (13.73%),2.82/51 (5.53%),2.4827078734363504,0.9934464679850022,0.9999999999998442,1.0,1.3119145175201745,0.0028555299483142105,6.764757177871836e-14
Shir.WAGO9IP__Shir.Input.WAGO9IP,3/51 (5.88%),0.58/51 (1.14%),5.1550802139037435,0.9972572905580426,0.9999999999998442,1.0,2.365994876342325,0.0011927800494045992,6.764757177871836e-14
Gu.wt.r1__Gu.mago12,8/51 (15.69%),2.59/51 (5.08%),3.0885062074489387,0.9990274447174988,0.9999999999998442,1.0,1.6269092303017494,0.00042258091751279673,6.764757177871836e-14
Lee.N2.051611__Lee.prg1.sx922,8/51 (15.69%),2.52/51 (4.94%),3.173662551440329,0.9991977363505099,0.9999999999998442,1.0,1.6661487377368183,0.00034855851261995295,6.764757177871836e-14
Lee.N2_for_glh.052517__Lee.glh1.glh4.052517,6/51 (11.76%),1.09/51 (2.14%),5.492877492877493,0.9998967789964613,0.9999999999998442,1.0,2.4575621159254006,4.4830626024264426e-05,6.764757177871836e-14
Gu.wt.r1__Gu.drh3.r1,14/51 (27.45%),3.68/51 (7.22%),3.803833145434048,0.9999980872874173,0.9999999999998442,1.0,1.927453963986502,8.306813145403893e-07,6.764757177871836e-14
Lee.46_23__Lee.5_3,12/51 (23.53%),2.02/51 (3.96%),5.938398357289528,0.9999999336395605,0.9999999999998442,1.0,2.570073874868776,2.881997363771564e-08,6.764757177871836e-14
Gu.wt.r2__Gu.drh3.r2,17/51 (33.33%),3.74/51 (7.33%),4.5496946141032755,0.9999999905796613,0.9999999999998442,1.0,2.1857697115740247,4.091201147934619e-09,6.764757177871836e-14
CSR1IP.oma1_gfp__CSR1Input.oma1_gfp,15/51 (29.41%),2.83/51 (5.54%),5.308370044052864,0.999999991531631,0.9999999999998442,1.0,2.408268943826409,3.677765945612411e-09,6.764757177871836e-14
CSR1IP.cdk1_gfp__CSR1Input.cdk1_gfp,15/51 (29.41%),2.7/51 (5.29%),5.561538461538462,0.9999999956257722,0.9999999999998442,1.0,2.4754840239226636,1.899702981949485e-09,6.764757177871836e-14
DA1316__ego1,22/51 (43.14%),5.09/51 (9.98%),4.3202281523731925,0.9999999998892949,0.9999999999998442,1.0,2.1111075035012106,4.8078619151728494e-11,6.764757177871836e-14
DA1316__Gu.ekl1,23/51 (45.1%),5.55/51 (10.89%),4.140429505135388,0.9999999999118397,0.9999999999998442,1.0,2.0497804326493565,3.828751308459945e-11,6.764757177871836e-14
CSR1IP.gfp_cdk1__CSR1Input.gfp_cdk1,21/51 (41.18%),3.8/51 (7.45%),5.525109170305677,0.9999999999972806,0.9999999999998442,1.0,2.466002970911778,1.1810118482894164e-12,6.764757177871836e-14
WT__glp4,27/51 (52.94%),6.11/51 (11.98%),4.418265150229163,0.999999999999823,0.9999999999998442,1.0,2.1434800007308055,7.685689908430378e-14,6.764757177871836e-14
CSR1IP.N2__N2,25/51 (49.02%),5.06/51 (9.92%),4.942575881870385,0.9999999999998442,0.9999999999998442,1.0,2.305263115384474,6.764757177871836e-14,6.764757177871836e-14
