Feature name,Standard gene name,mRNA half-life
YJL164C,TPK1,18.0
YJL163C,-,37.0
YJL155C,FBP26,71.0
YJL142C,IRC9,21.0
YJL141C,YAK1,20.0
YJL132W,-,29.0
YJL103C,GSM1,22.0
YJL068C,-,24.0
YJL066C,MPM1,30.0
YJL057C,IKS1,28.0
YJL048C,UBX6,44.0
YJL020C,BBC1,15.0
YJL016W,TPH3,16.0
YJL015C,-,23.0
YJR025C,BNA1,9.0
YJR066W,TOR1,27.0
YJR096W,-,23.0
YJR104C,SOD1,14.0
YKL193C,SDS22,26.0
YKL188C,PXA2,16.0
YKL151C,NNR2,48.0
YKL150W,MCR1,34.0
YKL142W,MRP8,37.0
YKL133C,-,24.0
YKL124W,SSH4,39.0
YKL121W,DGR2,17.0
YKL103C,APE1,24.0
YKL100C,YPF1,25.0
YKL067W,YNK1,17.0
YKL065C,YET1,28.0
YKL035W,UGP1,31.0
YKL026C,GPX1,17.0
YKR049C,FMP46,19.0
YKR058W,GLG1,42.0
YKR066C,CCP1,20.0
YKR067W,GPT2,24.0
YKR076W,ECM4,15.0
YLL039C,UBI4,22.0
YLL026W,HSP104,44.0
YLL020C,-,24.0
YLL019C,KNS1,14.0
YLR001C,-,18.0
YLR142W,PUT1,35.0
YLR152C,-,13.0
YLR178C,TFS1,69.0
YLR250W,SSP120,29.0
YLR251W,SYM1,35.0
YLR252W,-,43.0
YLR258W,GSY2,42.0
YLR270W,DCS1,79.0
YLR290C,COQ11,12.0
YLR299W,ECM38,21.0
YLR356W,ATG33,29.0
YLR370C,ARC18,26.0
YML131W,-,50.0
YML110C,COQ5,35.0
YML100W,TSL1,27.0
YML004C,GLO1,16.0
YMR041C,ARA2,40.0
YMR053C,STB2,37.0
YMR081C,ISF1,14.0
YMR090W,-,28.0
YMR110C,HFD1,27.0
YMR136W,GAT2,26.0
YMR139W,RIM11,51.0
YMR155W,-,23.0
YMR173W,DDR48,22.0
YMR174C,PAI3,18.0
YMR181C,-,56.0
YMR196W,-,40.0
YMR197C,VTI1,74.0
YMR251W,GTO3,21.0
YMR253C,-,31.0
YMR271C,URA10,15.0
YMR291W,TDA1,16.0
YMR297W,PRC1,17.0
YMR302C,YME2,21.0
YMR304W,UBP15,24.0
YMR315W,-,21.0
YNL305C,BXI1,35.0
YNL274C,GOR1,34.0
YNL241C,ZWF1,16.0
YNL208W,-,27.0
YNL200C,NNR1,15.0
YNL195C,-,20.0
YNL183C,NPR1,22.0
YNL160W,YGP1,24.0
YNL134C,-,13.0
YNL115C,-,28.0
YNL055C,POR1,16.0
YNL015W,PBI2,11.0
YNL009W,IDP3,22.0
YNR001C,CIT1,25.0
YNR002C,ATO2,31.0
YOL151W,GRE2,13.0
YOL150C,-,14.0
YOL083W,ATG34,13.0
YOL082W,ATG19,19.0
YOL048C,RRT8,31.0
YOR052C,TMC1,18.0
YOR152C,ATG40,28.0
YOR161C,PNS1,15.0
YOR173W,DCS2,21.0
YOR185C,GSP2,27.0
