Feature name,Standard gene name,mRNA half-life
YOR285W,RDL1,19.0
YOR289W,-,19.0
YOR317W,FAA1,37.0
YOR374W,ALD4,55.0
YPL203W,TPK2,17.0
YPL196W,OXR1,21.0
YPL186C,UIP4,20.0
YPL166W,ATG29,27.0
YPL154C,PEP4,18.0
YPL152W,RRD2,48.0
YPL087W,YDC1,20.0
YPL004C,LSP1,18.0
YPR067W,ISA2,21.0
YPR098C,-,19.0
YPR149W,NCE102,34.0
YPR151C,SUE1,34.0
YPR184W,GDB1,28.0
YBL064C,PRX1,85.0
YBL049W,MOH1,62.0
YBR006W,UGA2,17.0
YBR026C,ETR1,25.0
YBR052C,RFS1,14.0
YBR053C,-,33.0
YBR056W,-,22.0
YBR126C,TPS1,38.0
YBR139W,-,16.0
YBR149W,ARA1,24.0
YBR183W,YPC1,26.0
YBR204C,LDH1,17.0
YBR230C,OM14,18.0
YBR269C,SDH8,27.0
YBR285W,-,14.0
YBR287W,-,26.0
YCL042W,-,24.0
YCL040W,GLK1,36.0
YCL035C,GRX1,47.0
YCR004C,YCP4,43.0
YCR061W,-,19.0
YDL204W,RTN2,25.0
YDL124W,-,14.0
YDL110C,TMA17,27.0
YDL022W,GPD1,15.0
YDL021W,GPM2,16.0
YDR001C,NTH1,40.0
YDR003W,RCR2,20.0
YDR032C,PST2,24.0
YDR059C,UBC5,69.5
YDR070C,FMP16,55.0
YDR074W,TPS2,28.0
YDR085C,AFR1,41.0
YDR096W,GIS1,20.0
YDR169C,STB3,18.0
YDR204W,COQ4,20.0
YDR254W,CHL4,21.0
YDR255C,RMD5,29.0
YDR258C,HSP78,58.0
YDR272W,GLO2,14.0
YDR286C,-,15.0
YDR287W,INM2,18.0
YDR350C,ATP22,38.0
YDR358W,GGA1,50.0
YDR368W,YPR1,17.0
YDR380W,ARO10,17.0
YDR453C,TSA2,12.0
YDR475C,JIP4,19.0
YDR513W,GRX2,22.0
YDR512C,EMI1,13.0
YDR516C,EMI2,20.0
YDR533C,HSP31,15.0
YEL060C,PRB1,25.0
YEL039C,CYC7,19.0
YEL012W,UBC8,40.0
YEL011W,GLC3,80.0
YEL005C,VAB2,18.0
YER035W,EDC2,30.0
YER037W,PHM8,40.0
YER053C,PIC2,41.0
YER079W,-,19.0
YER119C,AVT6,20.0
YER141W,COX15,21.0
YER142C,MAG1,14.0
YER158C,-,16.0
YFL044C,OTU1,21.0
YFL014W,HSP12,25.0
YFR053C,HXK1,23.0
YGL248W,PDE1,20.0
YGL208W,SIP2,14.0
YGL156W,AMS1,27.0
YGL121C,GPG1,15.0
YGL104C,VPS73,27.0
YGL096W,TOS8,18.0
YGL087C,MMS2,35.0
YGL037C,PNC1,52.0
YGL006W,PMC1,21.0
YGR008C,STF2,29.0
YGR019W,UGA1,16.0
YGR043C,NQM1,19.0
YGR088W,CTT1,24.0
YGR127W,-,112.0
YGR149W,GPC1,41.0
YGR194C,XKS1,20.0
YGR201C,-,16.0
YGR209C,TRX2,18.0
YGR237C,-,18.0
YGR248W,SOL4,30.0
YGR256W,GND2,17.0
YHL021C,AIM17,98.0
YHR087W,RTC3,24.0
YHR097C,-,19.5
YHR104W,GRE3,104.0
YHR112C,-,23.0
YHR137W,ARO9,54.0
YHR138C,-,24.0
YHR171W,ATG7,23.0
YIL136W,OM45,38.0
YIL124W,AYR1,33.0
YIL120W,QDR1,11.0
YIL113W,SDP1,32.0
YIL101C,XBP1,35.0
YIL099W,SGA1,21.0
YIL045W,PIG2,27.0
YIR037W,HYR1,18.0
YIR038C,GTT1,43.0
