Feature name,Standard gene name,Transcriptional plasticity
YAL061W,BDH2,0.988026036
YJL164C,TPK1,0.827049738
YJL163C,-,0.856088822
YJL161W,FMP33,0.854113288
YJL155C,FBP26,0.546055133
YJL144W,-,0.865829144
YJL142C,IRC9,0.389915523
YJL141C,YAK1,0.369672379
YJL132W,-,0.262788135
YJL103C,GSM1,0.468133844
YJL068C,-,0.448925434
YJL066C,MPM1,0.66170217
YJL057C,IKS1,0.532949974
YJL048C,UBX6,0.48805778
YJL020C,BBC1,0.227634924
YJL016W,TPH3,0.320402085
YJL015C,-,0.323521601
YJR008W,MHO1,0.800121389
YJR025C,BNA1,0.864806898
YJR059W,PTK2,0.365021602
YJR066W,TOR1,0.263698902
YJR096W,-,0.97532326
YJR104C,SOD1,0.457204269
YKL193C,SDS22,0.374399585
YKL188C,PXA2,0.455377025
YKL151C,NNR2,1.819942294
YKL150W,MCR1,0.888276026
YKL142W,MRP8,0.719562903
YKL133C,-,0.358690698
YKL124W,SSH4,0.301125504
YKL121W,DGR2,0.380054185
YKL103C,APE1,1.501468146
YKL100C,YPF1,0.367016202
YKL093W,MBR1,0.59625665
YKL091C,-,0.806944176
YKL067W,YNK1,0.491700788
YKL065C,YET1,0.533261648
YKL035W,UGP1,0.752207081
YKL026C,GPX1,0.8133326
YKR009C,FOX2,0.595608539
YKR011C,-,0.62107674
YKR049C,FMP46,0.510712712
YKR058W,GLG1,0.484021442
YKR066C,CCP1,0.531924938
YKR067W,GPT2,0.403237793
YKR076W,ECM4,1.670332173
YLL039C,UBI4,0.955802813
YLL026W,HSP104,1.691386139
YLL020C,-,0.502118514
YLL019C,KNS1,0.474764065
YLR001C,-,0.277071622
YLR080W,EMP46,0.661603024
YLR142W,PUT1,1.608066246
YLR149C,-,1.250948724
YLR152C,-,0.601086588
YLR178C,TFS1,2.081520179
YLR250W,SSP120,0.319611161
YLR251W,SYM1,0.923945497
YLR252W,-,0.687100729
YLR258W,GSY2,1.473722176
YLR267W,BOP2,0.737833711
YLR270W,DCS1,0.896448533
YLR290C,COQ11,0.386717873
YLR299W,ECM38,0.514932117
YLR312C,ATG39,1.665804222
YLR327C,TMA10,2.196268416
YLR345W,-,0.58713823
YLR356W,ATG33,0.830368558
YLR370C,ARC18,0.270042706
YML131W,-,1.290177699
YML128C,MSC1,2.962472866
YML110C,COQ5,0.373219543
YML100W,TSL1,2.262272278
YML042W,CAT2,0.772352495
YML004C,GLO1,0.595197362
YMR041C,ARA2,0.481712964
YMR053C,STB2,0.325730438
YMR081C,ISF1,0.945691453
YMR090W,-,2.210159651
YMR105C,PGM2,2.076156633
YMR110C,HFD1,0.640646115
YMR136W,GAT2,0.523762163
YMR139W,RIM11,0.374647201
YMR155W,-,0.261367781
YMR170C,ALD2,1.904526066
YMR173W,DDR48,1.606327021
YMR173W-A,-,1.56280566
YMR181C,-,0.653674013
YMR196W,-,0.832386747
YMR197C,VTI1,0.404551668
YMR250W,GAD1,2.45002853
YMR251W,GTO3,0.925767794
YMR251W-A,HOR7,2.34235015
YMR253C,-,0.29930679
YMR271C,URA10,0.785740378
YMR291W,TDA1,0.487983364
YMR297W,PRC1,0.584164769
YMR302C,YME2,0.31376128
YMR304W,UBP15,0.299563858
YMR315W,-,0.859135231
YNL305C,BXI1,0.676533425
YNL274C,GOR1,1.081125665
YNL241C,ZWF1,0.505510489
YNL208W,-,0.799029976
YNL200C,NNR1,1.199648557
YNL195C,-,1.270782908
YNL194C,-,1.30318575
YNL183C,NPR1,0.281507163
YNL160W,YGP1,2.586134124
YNL134C,-,1.533417663
YNL115C,-,0.517586809
YNL055C,POR1,1.04496325
YNL015W,PBI2,1.184742989
YNL009W,IDP3,0.631039525
YNR001C,CIT1,1.105995715
YNR002C,ATO2,0.901190224
YOL151W,GRE2,3.558739512
YOL150C,-,1.330688963
YOL084W,PHM7,1.594697661
YOL083W,ATG34,0.987678392
YOL082W,ATG19,0.559233369
YOL048C,RRT8,0.558719063
YOR052C,TMC1,0.739859063
YOR152C,ATG40,0.513142819
YOR161C,PNS1,0.992375285
YOR173W,DCS2,1.043495622
YOR185C,GSP2,0.79159327
YOR220W,RCN2,0.790376722
YOR285W,RDL1,0.798047376
YOR289W,-,0.949633948
YOR317W,FAA1,0.625037777
YOR374W,ALD4,2.091492174
YPL230W,USV1,1.239270524
YPL203W,TPK2,0.396188655
YPL196W,OXR1,0.356125633
YPL186C,UIP4,0.843915013
YPL166W,ATG29,0.551117334
YPL165C,SET6,0.422773386
YPL154C,PEP4,0.921658576
YPL152W,RRD2,0.262787748
YPL087W,YDC1,0.610581867
YPL054W,LEE1,1.056176791
YPL004C,LSP1,0.614953876
YPR026W,ATH1,0.655794545
YPR067W,ISA2,0.239735169
YPR098C,-,0.574657256
YPR149W,NCE102,0.775116421
YPR150W,-,0.675346171
YPR151C,SUE1,0.708228796
YPR184W,GDB1,0.768801626
YBL078C,ATG8,1.086078114
YBL075C,SSA3,0.886491329
YBL064C,PRX1,1.762356583
YBL049W,MOH1,0.817836374
YBR006W,UGA2,0.718970542
YBR026C,ETR1,0.503285548
YBR052C,RFS1,0.546335194
YBR053C,-,0.71302025
YBR056W,-,0.694854099
YBR072W,HSP26,3.459273888
YBR126C,TPS1,0.878504265
YBR139W,-,0.585308855
YBR149W,ARA1,0.605869328
YBR169C,SSE2,1.008449413
YBR183W,YPC1,0.775586122
YBR204C,LDH1,0.383915106
YBR230C,OM14,0.960731247
YBR269C,SDH8,0.547856388
YBR285W,-,0.957690552
YBR287W,-,0.48392215
YCL042W,-,1.081343174
YCL040W,GLK1,2.398630933
YCL035C,GRX1,0.586649782
YCR004C,YCP4,0.351864037
YCR061W,-,0.444674927
YCR091W,KIN82,0.449321679
YDL222C,FMP45,1.14433447
YDL204W,RTN2,2.078687325
YDL199C,-,0.616071763
YDL124W,-,1.301296326
YDL110C,TMA17,0.78862621
YDL027C,MRX9,0.287908216
YDL022W,GPD1,2.780344672
YDL023C,-,6.335281724
YDL021W,GPM2,0.94448813
YDR001C,NTH1,0.771087097
YDR003W,RCR2,0.411566458
YDR032C,PST2,0.713051568
YDR059C,UBC5,1.133580316
YDR070C,FMP16,1.59988191
YDR074W,TPS2,1.084555835
YDR085C,AFR1,0.768960869
YDR096W,GIS1,0.478636377
YDR169C,STB3,0.21973807
YDR171W,HSP42,1.947971953
YDR204W,COQ4,0.400135038
YDR254W,CHL4,0.26597592
YDR255C,RMD5,0.255598156
YDR258C,HSP78,1.307143097
YDR272W,GLO2,0.456456379
YDR286C,-,0.218257362
YDR287W,INM2,0.292881657
YDR350C,ATP22,0.20539863
YDR358W,GGA1,0.625889269
YDR368W,YPR1,0.409989828
YDR380W,ARO10,1.419087665
YDR453C,TSA2,1.102723939
YDR475C,JIP4,0.422392354
YDR513W,GRX2,0.757375954
YDR512C,EMI1,0.403848864
YDR516C,EMI2,0.937740348
YDR533C,HSP31,1.514505536
YEL060C,PRB1,0.927903145
YEL039C,CYC7,0.797035773
YEL012W,UBC8,0.764242016
YEL011W,GLC3,1.303032008
YEL005C,VAB2,0.259886046
YER035W,EDC2,0.464112687
YER037W,PHM8,0.753230928
YER038C,KRE29,0.351040082
YER053C,PIC2,1.027382076
YER079W,-,0.756694631
YER103W,SSA4,1.481658869
YER119C,AVT6,0.461046709
YER141W,COX15,0.380139432
YER142C,MAG1,0.334668416
YER150W,SPI1,2.2644218
YER158C,-,0.407400968
YFL044C,OTU1,0.282819883
YFL014W,HSP12,12.9704582
YFR053C,HXK1,1.774373251
YGL248W,PDE1,0.509954534
YGL208W,SIP2,0.361147975
YGL180W,ATG1,0.668225917
YGL156W,AMS1,1.228008832
YGL121C,GPG1,1.161642464
YGL104C,VPS73,0.627117787
YGL096W,TOS8,0.476609238
YGL087C,MMS2,0.277414044
YGL059W,PKP2,0.337174625
YGL037C,PNC1,1.726387876
YGL010W,MPO1,0.348555708
YGL006W,PMC1,0.384310471
YGR008C,STF2,1.326572501
YGR019W,UGA1,0.760023836
YGR023W,MTL1,0.351990647
YGR043C,NQM1,2.494378374
YGR088W,CTT1,2.278116102
YGR127W,-,0.261409637
YGR149W,GPC1,0.424760875
YGR161C,RTS3,0.915279443
YGR194C,XKS1,0.568440226
YGR201C,-,0.747578962
YGR209C,TRX2,0.775035912
YGR237C,-,0.272213525
YGR248W,SOL4,2.021934333
YGR250C,RIE1,0.637134853
YGR256W,GND2,0.728268315
YHL021C,AIM17,1.904938584
YHR087W,RTC3,2.186014786
YHR096C,HXT5,1.737568243
YHR097C,-,0.839440608
YHR104W,GRE3,1.476293713
YHR112C,-,0.431914766
YHR137W,ARO9,2.006573343
YHR138C,-,1.225105626
YHR171W,ATG7,0.559746087
YIL136W,OM45,1.459765394
YIL124W,AYR1,0.455030904
YIL120W,QDR1,0.352276561
YIL113W,SDP1,0.628861255
YIL107C,PFK26,0.601183926
YIL101C,XBP1,1.016215479
YIL099W,SGA1,0.92206333
YIL097W,FYV10,0.47015497
YIL045W,PIG2,0.733374162
YIR037W,HYR1,0.547069557
YIR038C,GTT1,1.421434516
YIR039C,YPS6,0.823855665
