Feature name,Standard gene name,# of PTMs
YAL059W,ECM1,1.0
YAL038W,CDC19,52.0
YAL036C,RBG1,5.0
YAL035W,FUN12,18.0
YAL025C,MAK16,2.0
YAL003W,EFB1,14.0
YAR073W,IMD1,2.0
YAR075W,-,4.0
YJL198W,PHO90,2.0
YJL190C,RPS22A,4.0
YJL189W,RPL39,1.0
YJL177W,RPL17B,14.0
YJL148W,RPA34,9.0
YJL138C,TIF2,12.0
YJL136C,RPS21B,7.0
YJL125C,GCD14,1.0
YJL122W,ALB1,7.0
YJL109C,UTP10,1.0
YJL080C,SCP160,28.0
YJL069C,UTP18,4.0
YJL050W,MTR4,7.0
YJL033W,HCA4,6.0
YJL014W,CCT3,5.0
YJL002C,OST1,2.0
YJR002W,MPP10,6.0
YJR007W,SUI2,10.0
YJR014W,TMA22,6.0
YJR041C,URB2,2.0
YJR043C,POL32,6.0
YJR063W,RPA12,1.0
YJR064W,CCT5,6.0
YJR070C,LIA1,6.0
YJR094W-A,RPL43B,4.0
YJR123W,RPS5,12.0
YJR143C,PMT4,2.0
YJR145C,RPS4A,1.0
YKL205W,LOS1,1.0
YKL181W,PRS1,9.0
YKL180W,RPL17A,8.0
YKL172W,EBP2,3.0
YKL154W,SRP102,1.0
YKL144C,RPC25,2.0
YKL143W,LTV1,10.0
YKL122C,SRP21,4.0
YKL082C,RRP14,1.0
YKL081W,TEF4,17.0
YKL080W,VMA5,1.0
YKL056C,TMA19,11.0
YKL021C,MAK11,3.0
YKL009W,MRT4,1.0
YKL006W,RPL14A,2.0
YKR024C,DBP7,1.0
YKR025W,RPC37,4.0
YKR026C,GCN3,2.0
YKR056W,TRM2,7.0
YKR057W,RPS21A,1.0
YKR059W,TIF1,2.0
YKR060W,UTP30,2.0
YKR079C,TRZ1,2.0
YKR092C,SRP40,8.0
YLL045C,RPL8B,10.0
YLL038C,ENT4,4.0
YLL036C,PRP19,3.0
YLL035W,GRC3,2.0
YLL034C,RIX7,6.0
YLL008W,DRS1,1.0
