Feature name,Standard gene name,Transcriptional plasticity
YNL308C,KRI1,0.738778217
YNL303W,-,0.532007928
YNL302C,RPS19B,0.591085494
YNL301C,RPL18B,1.135362678
YNL299W,TRF5,0.352210564
YNL292W,PUS4,0.258542823
YNL256W,FOL1,0.333793037
YNL255C,GIS2,0.398894134
YNL248C,RPA49,1.269817961
YNL247W,-,0.451823797
YNL228W,-,0.29352764
YNL227C,JJJ1,0.30520783
YNL209W,SSB2,1.054464449
YNL186W,UBP10,0.478978538
YNL182C,IPI3,0.814412259
YNL178W,RPS3,1.172969935
YNL174W,-,1.008809719
YNL175C,NOP13,1.147557102
YNL163C,RIA1,0.335812721
YNL162W,RPL42A,0.774504834
YNL153C,GIM3,0.26082823
YNL151C,RPC31,0.386399314
YNL141W,AAH1,1.227826808
YNL132W,KRE33,1.084319645
YNL124W,NAF1,0.394562289
YNL119W,NCS2,0.571133145
YNL120C,-,0.369722355
YNL113W,RPC19,0.703239772
YNL114C,-,0.504034542
YNL110C,NOP15,1.070518808
YNL102W,POL1,0.241458649
YNL096C,RPS7B,0.950620432
YNL075W,IMP4,0.590527709
YNL069C,RPL16B,1.056023319
YNL067W,RPL9B,1.239171704
YNL066W,SUN4,0.623967999
YNL062C,GCD10,0.601862346
YNL061W,NOP2,0.750189348
YNL022C,RCM1,0.320565562
YNL010W,-,0.35917659
YNL002C,RLP7,0.88822691
YNL001W,DOM34,0.186712127
YNR003C,RPC34,0.385780294
YNR009W,NRM1,0.41997493
YNR024W,MPP6,0.303426915
YNR043W,MVD1,0.504640916
YNR053C,NOG2,0.910102962
YNR054C,ESF2,0.501458214
YOL127W,RPL25,0.727982784
YOL124C,TRM11,0.878681064
YOL121C,RPS19A,0.573431526
YOL120C,RPL18A,1.287633458
YOL097C,WRS1,0.694730771
YOL077C,BRX1,1.174741192
YOL041C,NOP12,0.486881509
YOL040C,RPS15,1.140633876
YOL039W,RPP2A,1.413253723
YOL022C,TSR4,0.348032452
YOR001W,RRP6,0.430973414
YOR004W,UTP23,1.015081642
YOR021C,SFM1,0.42221397
YOR063W,RPL3,0.958789278
YOR095C,RKI1,1.113726973
YOR096W,RPS7A,0.995872607
YOR146W,-,0.492596302
YOR145C,PNO1,0.618196695
YOR167C,RPS28A,0.540846297
YOR168W,GLN4,0.42701968
YOR169C,-,0.338932302
YOR182C,RPS30B,0.529472537
YOR188W,MSB1,0.304811268
YOR206W,NOC2,0.960659708
YOR209C,NPT1,0.306133346
YOR210W,RPB10,0.51328177
YOR217W,RFC1,0.183388458
YOR224C,RPB8,0.567970588
YOR233W,KIN4,0.332867933
YOR234C,RPL33B,0.87666261
YOR243C,PUS7,0.580240241
YOR252W,TMA16,0.345703607
YOR253W,NAT5,0.32152318
YOR260W,GCD1,0.294999675
YOR271C,FSF1,0.482949172
YOR272W,YTM1,0.855392176
YOR276W,CAF20,0.466856858
YOR277C,-,0.405739441
YOR287C,RRP36,0.521658514
YOR293W,RPS10A,0.93125596
YOR294W,RRS1,0.777566778
YOR309C,-,1.48490191
YOR310C,NOP58,1.345536034
YOR312C,RPL20B,1.075180955
YOR361C,PRT1,0.463881765
YOR369C,RPS12,1.007025208
YPL273W,SAM4,0.644625322
YPL266W,DIM1,0.678490783
YPL263C,KEL3,0.469990802
YPL245W,-,0.43068207
YPL237W,SUI3,0.41042447
YPL238C,-,0.369711239
YPL235W,RVB2,0.191615018
YPL226W,NEW1,0.848830673
YPL220W,RPL1A,0.967045838
YPL217C,BMS1,0.573113116
YPL212C,PUS1,0.469910468
YPL211W,NIP7,0.883346911
YPL207W,TYW1,0.48244055
YPL198W,RPL7B,1.087597456
YPL183C,RTT10,0.492475499
YPL160W,CDC60,0.494405865
YPL146C,NOP53,0.522851958
YPL143W,RPL33A,0.720658732
YPL142C,-,0.524594837
YPL090C,RPS6A,1.03221599
YPL086C,ELP3,0.418863322
YPL081W,RPS9A,0.965688088
YPL079W,RPL21B,0.935946166
YPL043W,NOP4,0.926505774
YPL044C,-,0.685961158
YPL037C,EGD1,0.488767344
YPR010C,RPA135,1.042737728
YPR016C,TIF6,0.404436167
YPR033C,HTS1,0.550562298
YPR034W,ARP7,0.239545615
YPR041W,TIF5,0.354917407
YPR043W,RPL43A,0.569140292
YPR044C,OPI11,0.637074189
YPR060C,ARO7,0.354938161
YPR074C,TKL1,0.764649152
